DateAsOf,FutureExpiryDate,OptionType,StrikePrice,CurrentPrice,ImpliedVol
20230331,20240131,Call,100,75,0.78
20230331,20240131,Call,90,75,0.76
20230331,20240131,Call,80,75,0.74
20230331,20240131,Call,75,75,0.71
20230331,20240131,Call,70,75,0.72
20230331,20240131,Call,65,75,0.75
20230331,20240131,Call,60,75,0.76
20230331,20240131,Call,55,75,0.78
20230331,20240131,Put,90,75,0.78
20230331,20240131,Put,80,75,0.78
20230331,20240131,Put,70,75,0.76
20230331,20240131,Put,60,75,0.74
20230331,20240131,Put,55,75,0.71
20230331,20240131,Put,50,75,0.72
20230331,20240131,Put,45,75,0.75
20230331,20240131,Put,40,75,0.76
20230331,20240131,Put,35,75,0.78
20230131,20240131,Call,100,65,0.78
20230131,20240131,Call,95,65,0.76
20230131,20240131,Call,90,65,0.74
20230131,20240131,Call,85,65,0.71
20230131,20240131,Call,80,65,0.72
20230131,20240131,Call,75,65,0.75
20230131,20240131,Call,70,65,0.76
20230131,20240131,Call,65,65,0.78
20230131,20240131,Call,60,65,0.78
20230131,20240131,Call,55,65,0.78
20230131,20240131,Call,50,65,0.78
20230131,20240131,Call,45,65,0.78
20230131,20240131,Call,40,65,0.78
20230131,20240131,Put,90,65,0.78
20230131,20240131,Put,85,65,0.78
20230131,20240131,Put,80,65,0.76
20230131,20240131,Put,75,65,0.74
20230131,20240131,Put,70,65,0.72
20230131,20240131,Put,65,65,0.7
20230131,20240131,Put,60,65,0.7
20230131,20240131,Put,55,65,0.7
20230131,20240131,Put,50,65,0.7
20230131,20240131,Put,45,65,0.7
20230131,20240131,Put,40,65,0.7
20230131,20240131,Put,35,65,0.7
20230131,20240131,Put,30,65,0.7
20221231,20240131,Call,100,75,0.78
20221231,20240131,Call,90,75,0.76
20221231,20240131,Call,80,75,0.74
20221231,20240131,Call,75,75,0.71
20221231,20240131,Call,70,75,0.72
20221231,20240131,Call,65,75,0.75
20221231,20240131,Call,60,75,0.76
20221231,20240131,Call,55,75,0.78
20221231,20240131,Put,90,75,0.78
20221231,20240131,Put,80,75,0.78
20221231,20240131,Put,70,75,0.76
20221231,20240131,Put,60,75,0.74
20221231,20240131,Put,55,75,0.71
20221231,20240131,Put,50,75,0.72
20221231,20240131,Put,45,75,0.75
20221231,20240131,Put,40,75,0.76
20221231,20240131,Put,35,75,0.78
20151231,20161231,Call,75,60,0.5
20151231,20161231,Call,73,60,0.49
20151231,20161231,Call,71,60,0.48
20151231,20161231,Call,69,60,0.47
20151231,20161231,Call,67,60,0.46
20151231,20161231,Call,65,60,0.45
20151231,20161231,Call,63,60,0.44
20151231,20161231,Call,61,60,0.43
20151231,20161231,Call,59,60,0.44
20151231,20161231,Call,57,60,0.45
20151231,20161231,Call,55,60,0.46
20151231,20161231,Call,53,60,0.46
20151231,20161231,Call,51,60,0.46
20151231,20161231,Call,49,60,0.46
20151231,20161231,Call,47,60,0.46
20151231,20161231,Call,45,60,0.46
20151231,20161231,Call,43,60,0.46
20151231,20161231,Call,41,60,0.46
20151231,20161231,Put,70,60,0.5
20151231,20161231,Put,68,60,0.51
20151231,20161231,Put,66,60,0.52
20151231,20161231,Put,64,60,0.53
20151231,20161231,Put,62,60,0.54
20151231,20161231,Put,60,60,0.55
20151231,20161231,Put,58,60,0.56
20151231,20161231,Put,56,60,0.57
20151231,20161231,Put,54,60,0.58
20151231,20161231,Put,52,60,0.59
20151231,20161231,Put,50,60,0.6
20151231,20161231,Put,48,60,0.61
