DateAsOf,FutureExpiryDate,OptionType,StrikePrice,CurrentPrice,ImpliedVol
20230331,20240131,Call,100,75,0.78
20230331,20240131,Call,90,75,0.76
20230331,20240131,Call,80,75,0.74
20230331,20240131,Call,75,75,0.71
20230331,20240131,Call,70,75,0.72
20230331,20240131,Call,65,75,0.75
20230331,20240131,Call,60,75,0.76
20230331,20240131,Call,55,75,0.78
20230331,20240131,Put,90,75,0.78
20230331,20240131,Put,80,75,0.78
20230331,20240131,Put,70,75,0.76
20230331,20240131,Put,60,75,0.74
20230331,20240131,Put,55,75,0.71
20230331,20240131,Put,50,75,0.72
20230331,20240131,Put,45,75,0.75
20230331,20240131,Put,40,75,0.76
20230331,20240131,Put,35,75,0.78
20230131,20240131,Call,100,65,0.78
20230131,20240131,Call,90,65,0.76
20230131,20240131,Call,80,65,0.74
20230131,20240131,Call,75,65,0.71
20230131,20240131,Call,70,65,0.72
20230131,20240131,Call,65,65,0.75
20230131,20240131,Call,60,65,0.76
20230131,20240131,Call,55,65,0.78
20230131,20240131,Put,90,65,0.78
20230131,20240131,Put,80,65,0.78
20230131,20240131,Put,70,65,0.76
20230131,20240131,Put,60,65,0.74
20230131,20240131,Put,55,65,0.71
20230131,20240131,Put,50,65,0.72
20230131,20240131,Put,45,65,0.75
20230131,20240131,Put,40,65,0.76
20230131,20240131,Put,35,65,0.78
20221231,20240131,Call,100,75,0.78
20221231,20240131,Call,90,75,0.76
20221231,20240131,Call,80,75,0.74
20221231,20240131,Call,75,75,0.71
20221231,20240131,Call,70,75,0.72
20221231,20240131,Call,65,75,0.75
20221231,20240131,Call,60,75,0.76
20221231,20240131,Call,55,75,0.78
20221231,20240131,Put,90,75,0.78
20221231,20240131,Put,80,75,0.78
20221231,20240131,Put,70,75,0.76
20221231,20240131,Put,60,75,0.74
20221231,20240131,Put,55,75,0.71
20221231,20240131,Put,50,75,0.72
20221231,20240131,Put,45,75,0.75
20221231,20240131,Put,40,75,0.76
20221231,20240131,Put,35,75,0.78
